# MSI Denoising ['balloons','beads','flowers','fruits']
Case: 1 OB_PSNR: 16.218, OB_SSIM: 0.084, OB_NRMSE: 0.902
Case: 1 PSNR: 33.080, SSIM: 0.873, NRMSE: 0.139
Case: 2 OB_PSNR: 16.263, OB_SSIM: 0.109, OB_NRMSE: 0.900
Case: 2 PSNR: 35.285, SSIM: 0.910, NRMSE: 0.108
Case: 3 OB_PSNR: 16.124, OB_SSIM: 0.101, OB_NRMSE: 0.912
Case: 3 PSNR: 32.800, SSIM: 0.892, NRMSE: 0.138
Case: 4 OB_PSNR: 16.197, OB_SSIM: 0.107, OB_NRMSE: 0.906
Case: 4 PSNR: 31.461, SSIM: 0.874, NRMSE: 0.162
Case: 5 OB_PSNR: 16.067, OB_SSIM: 0.101, OB_NRMSE: 0.917
Case: 5 PSNR: 29.708, SSIM: 0.847, NRMSE: 0.193

# WDC mall
Case: 1 OB_PSNR: 15.154, OB_SSIM: 0.472, OB_NRMSE: 0.388
Case: 1 PSNR: 28.252, SSIM: 0.911, NRMSE: 0.086
Case: 2 OB_PSNR: 16.055, OB_SSIM: 0.532, OB_NRMSE: 0.350
Case: 2 PSNR: 31.233, SSIM: 0.945, NRMSE: 0.061
Case: 3 OB_PSNR: 13.686, OB_SSIM: 0.426, OB_NRMSE: 0.458
Case: 3 PSNR: 29.734, SSIM: 0.941, NRMSE: 0.072
Case: 4 OB_PSNR: 14.972, OB_SSIM: 0.497, OB_NRMSE: 0.396
Case: 4 PSNR: 26.951, SSIM: 0.912, NRMSE: 0.100
Case: 5 OB_PSNR: 13.092, OB_SSIM: 0.404, OB_NRMSE: 0.491
Case: 5 PSNR: 25.999, SSIM: 0.908, NRMSE: 0.111

# Pavia University
Case: 1 OB_PSNR: 14.860, OB_SSIM: 0.375, OB_NRMSE: 0.417
Case: 1 PSNR: 26.585, SSIM: 0.857, NRMSE: 0.108
Case: 2 OB_PSNR: 16.008, OB_SSIM: 0.439, OB_NRMSE: 0.365
Case: 2 PSNR: 29.133, SSIM: 0.908, NRMSE: 0.081
Case: 3 OB_PSNR: 13.835, OB_SSIM: 0.343, OB_NRMSE: 0.469
Case: 3 PSNR: 27.786, SSIM: 0.897, NRMSE: 0.094
Case: 4 OB_PSNR: 14.958, OB_SSIM: 0.406, OB_NRMSE: 0.412
Case: 4 PSNR: 23.129, SSIM: 0.783, NRMSE: 0.161
Case: 5 OB_PSNR: 13.231, OB_SSIM: 0.323, OB_NRMSE: 0.503
Case: 5 PSNR: 21.963, SSIM: 0.755, NRMSE: 0.184
